RatePer10K,Shape__Length,OBJECTID,Deaths,TotalPop,ZIPCode,Note,Shape__Area,Place,Cases
35.6374394835933,355282.663136038,"1","3","14872","27006",,1744189234.37061,Advance,"53"
65.5430711610487,195922.003442792,"2","0","2136","27007",,592499585.594238,Ararat,"14"
23.8338440585632,191244.647442635,"3","0","2937","27009",,618093097.011353,Belews Creek,"7"
77.6196636481242,316910.589814884,"4","0","5411","27011",,1489580093.86462,Boonville,"42"
66.6574566553844,255774.303165276,"5","0","28954","27012",,1176567385.86804,Clemmons,"193"
60.0461893764434,379169.285246239,"6","2","6495","27013",,2066336247.98627,Cleveland,"39"
20.8986415882968,22299.1178929161,"7","0","957","27014",,21479098.032959,Cooleemee,"2"
23.7812128418549,211061.413302457,"8","0","1682","27016",,1068209590.0686,Danbury,"4"
138.961995999579,566348.974052304,"9","0","9499","27017",,2962951682.04883,Dobson,"132"
94.8789684953169,255811.974556888,"10","1","8221","27018",,2331567909.96985,East Bend,"78"
51.9603212092584,270248.259734795,"11","0","4234","27019",,977414017.819214,Germanton,"22"
116.317169069463,316969.486887135,"12","2","6104","27020",,2114111622.36755,Hamptonville,"71"
46.7211747038211,210392.900707099,"13","1","17979","27021",,1469376476.14172,King,"84"
19.8412698412698,200803.000966771,"14","0","1512","27022",,918745327.278442,Lawsonville,"3"
67.3189823874755,183078.980128527,"15","1","12775","27023",,807172159.002075,Lewisville,"86"
37.2717107715244,278411.484773322,"16","0","2683","27024",,1265827411.39758,Lowgap,"10"
25.1866510749303,468723.596670606,"17","0","11117","27025",,2714649364.33142,Madison,"28"
22.4047796863331,172371.363079245,"18","0","4017","27027",,548179131.574585,Mayodan,"9"
74.1823888155783,567238.136149725,"19","0","28039","27028",,5475621774.30664,Mocksville,"208"
78.6376557477219,624989.724929863,"20","3","37641","27030",,4824085732.75671,Mount Airy,"296"
39.5437262357414,205025.773716105,"21","0","13150","27040",,763349953.536133,Pfafftown,"52"
47.3815461346633,324677.141569035,"22","0","8020","27041",,1629462738.40637,Pilot Mountain,"38"
69.4444444444444,113971.243586081,"23","0","720","27042",,290758639.069458,Pine Hall,"5"
57.435579012729,395674.180712496,"24","0","6442","27043",,1935795027.06067,Pinnacle,"37"
83.4811645622456,154538.589918543,"25","1","9583","27045",,666085549.25769,Rural Hall,"80"
10.2406554019457,217125.573744555,"26","0","1953","27046",,1237681699.0647,Sandy Ridge,"2"
46.9116497263487,144984.839113672,"27","0","1279","27047",,576295820.815674,Siloam,"6"
31.4536059312514,325454.766660313,"28","0","8902","27048",,2355000804.03674,Stoneville,"28"
41.6258570029383,219088.1792708,"29","0","4084","27050",,703876500.567505,Tobaccoville,"17"
60.3354651864366,151066.808563308,"30","0","8287","27051",,524680317.775635,Walkertown,"50"
42.7392903289931,403203.611044297,"31","0","10061","27052",,2710320219.82117,Walnut Cove,"43"
25.3485424588086,413464.446930882,"32","0","3156","27053",,2152815477.55933,Westfield,"8"
111.196319018405,201172.963339102,"33","0","2608","27054",,778193820.583862,Woodleaf,"29"
122.581089456649,403366.49229781,"34","2","14521","27055",,3115987965.39453,Yadkinville,"178"
64.9644340282061,162957.922513793,"35","0","24321","27101",,356085731.400146,Winston Salem,"158"
90.9317734468132,146399.561156354,"36","9","36071","27103",,527249856.672729,Winston Salem,"328"
95.293196746418,130394.134288752,"37","4","29383","27104",,337669863.683838,Winston Salem,"280"
173.941173543025,208375.813794777,"38","5","40186","27105",,950547784.577881,Winston Salem,"699"
91.2842072482386,203893.681115083,"39","4","51378","27106",,787324720.967285,Winston Salem,"469"
149.5270064083,319111.813640457,"40","7","52432","27107",,1859279716.41162,Winston Salem,"784"
132.952479875357,213438.375685158,"41","5","38510","27127",,820319160.873047,Winston Salem,"512"
16000,4216.57245655308,"42","0","5","27157",,827769.094482422,Winston Salem,"8"
216.675809105869,188062.356665824,"43","15","21876","27203",,589408161.410522,Asheboro,"474"
121.566470809575,588011.232518038,"44","4","34549","27205",,6255653514.79199,Asheboro,"420"
128.744088281661,473699.237818467,"45","1","3806","27207",,2300194678.82397,Bear Creek,"49"
100.53222945003,215638.108979383,"46","0","1691","27208",,1029479783.1405,Bennett,"17"
303.5413153457,259108.004034657,"47","6","4151","27209",,1198089302.20734,Biscoe,"126"
293.75,277007.39975067,"48","0","1600","27212",,1328181375.12305,Blanch,"47"
51.9281518685622,324969.092830869,"49","1","11747","27214",,1414533235.94788,Browns Summit,"61"
71.7277020404526,298200.358945539,"50","3","44892","27215",,1827823774.30115,Burlington,"322"
177.699368464115,513818.51476852,"51","33","39111","27217",,3473433663.33496,Burlington,"695"
234.180368709517,367384.611313313,"52","0","4014","27229",,2747739848.89313,Candor,"94"
24.4140625,209108.769362036,"53","0","2048","27231",,987771348.581177,Cedar Grove,"5"
27.4197970935015,187154.002103638,"54","0","3647","27233",,703252829.253662,Climax,"10"
39.344262295082,148521.339190303,"55","0","4575","27235",,380654027.583252,Colfax,"18"
42.5797071346973,429373.198159064,"56","1","9629","27239",,4319759872.9696,Denton,"41"
48.7256371814093,321391.030328654,"57","0","2668","27242",,1480408484.01825,Eagle Springs,"13"
79.3140407288317,311755.144165646,"58","1","4665","27243",,1142332751.10315,Efland,"37"
27.0619349283474,399696.340130384,"59","0","16259","27244",,1541989025.453,Elon,"44"
64.1158221302999,215710.992817749,"60","1","4835","27248",,942909114.352783,Franklinville,"31"
49.4196929988768,397477.611919868,"61","0","13355","27249",,1679803774.77087,Gibsonville,"66"
39.7526501766784,220926.147155476,"62","1","2264","27252",,1142470673.17163,Goldston,"9"
81.998474446987,521476.969804177,"63","1","31464","27253",,2351372927.78931,Graham,"258"
62.015503875969,312686.877842211,"64","0","7740","27258",,473631125.268677,Haw River,"48"
116.749688667497,133229.878739789,"65","11","25696","27260",,348441568.963501,High Point,"300"
83.5890809239218,171087.864383377,"66","5","24764","27262",,368730084.700928,High Point,"207"
70.3405017921147,249658.228757679,"67","1","22320","27263",,1121512604.52234,High Point,"157"
60.9536752068428,307481.490778656,"68","20","50038","27265",,1172957282.41284,High Point,"305"
5.89970501474926,8251.66869064816,"69","0","1695","27268",,2495618.64758301,High Point,"1"
66.2227291122475,502574.675043234,"70","0","27181","27278",,2885765742.02771,Hillsborough,"180"
67.3854447439353,479969.724586594,"71","0","3710","27281",,2095606802.2608,Jackson Springs,"25"
40.9712598662409,168803.970950205,"72","2","16597","27282",,404066994.873657,Jamestown,"68"
53.6552649228706,161239.518798817,"73","0","2982","27283",,711286368.914917,Julian,"16"
60.4971441789292,420748.080109325,"74","4","56201","27284",,2233069317.10205,Kernersville,"340"
41.9758320966716,304615.616752016,"75","0","23585","27288",,1951079100.05676,Eden,"99"
6.50195058517555,314720.365319101,"76","0","1538","27291",,1492904663.44434,Leasburg,"1"
94.7787290485952,407599.915340798,"77","5","41465","27292",,4270233445.18579,Lexington,"393"
77.8239902018321,466742.919509858,"78","10","39191","27295",,3631502180.53174,Lexington,"305"
77.5862068965517,431527.987760386,"79","0","10440","27298",,2639148530.03284,Liberty,"81"
70.4225352112676,203597.604040365,"80","0","5254","27299",,822543412.257813,Linwood,"37"
